date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:09	56336/56336	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2025%20Jul%202023%2018:14:07%20GMT	https://villaeno.my.canva.site/fonts/5e8564e438a0f035eaf200aea83dda40.woff2	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/fonts/5e8564e438a0f035eaf200aea83dda40.woff2	(from https://villaeno.my.canva.site/)
15:14:09	380562/380562	---MC-	200	added ('OK')	image/png	date:Tue,%2025%20Jul%202023%2018:14:06%20GMT	https://villaeno.my.canva.site/e18f1a81815e0c5653f083a3b90d28cd.png	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/e18f1a81815e0c5653f083a3b90d28cd.png	(from https://villaeno.my.canva.site/)
15:14:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Jul%202023%2018:14:10%20GMT	http://villaeno.my.canva.site/fonts/99ddc70a8ffa326837e6983f9aed0872.woff2	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/fonts/99ddc70a8ffa326837e6983f9aed0872.woff2	(from https://villaeno.my.canva.site/)
15:14:11	55756/55756	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2025%20Jul%202023%2018:14:10%20GMT	https://villaeno.my.canva.site/fonts/bcc6a8815cbd3f89c50a4f62f4107864.woff2	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/fonts/bcc6a8815cbd3f89c50a4f62f4107864.woff2	(from https://villaeno.my.canva.site/)
15:14:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Jul%202023%2018:14:11%20GMT	http://villaeno.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://villaeno.my.canva.site/)
15:14:13	15768/15768	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2025%20Jul%202023%2018:14:11%20GMT	https://villaeno.my.canva.site/fonts/99ddc70a8ffa326837e6983f9aed0872.woff2	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/fonts/99ddc70a8ffa326837e6983f9aed0872.woff2	(from https://villaeno.my.canva.site/)
15:14:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Jul%202023%2018:14:13%20GMT	http://villaeno.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://villaeno.my.canva.site/)
15:14:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Jul%202023%2018:14:15%20GMT	http://villaeno.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	(from https://villaeno.my.canva.site/)
15:14:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Jul%202023%2018:14:17%20GMT	http://villaeno.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	(from https://villaeno.my.canva.site/)
15:14:19	194188/194188	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2025%20Jul%202023%2018:14:13%20GMT	https://villaeno.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://villaeno.my.canva.site/)
15:14:19	194064/194064	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2025%20Jul%202023%2018:14:15%20GMT	https://villaeno.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://villaeno.my.canva.site/)
15:14:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Jul%202023%2018:14:21%20GMT	http://villaeno.my.canva.site/images/1b2c57f0c85a1b8b6a518e5b58decad8.png	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/images/1b2c57f0c85a1b8b6a518e5b58decad8.png	(from https://villaeno.my.canva.site/)
15:14:21	201132/201132	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2025%20Jul%202023%2018:14:17%20GMT	https://villaeno.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	(from https://villaeno.my.canva.site/)
15:14:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Jul%202023%2018:14:22%20GMT	http://villaeno.my.canva.site/images/9e5c07585b604ee85298cc35a810d7ba.png	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/images/9e5c07585b604ee85298cc35a810d7ba.png	(from https://villaeno.my.canva.site/)
15:14:23	203232/203232	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2025%20Jul%202023%2018:14:21%20GMT	https://villaeno.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	(from https://villaeno.my.canva.site/)
15:14:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Jul%202023%2018:14:23%20GMT	http://villaeno.my.canva.site/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	(from https://villaeno.my.canva.site/)
15:14:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Jul%202023%2018:14:26%20GMT	http://villaeno.my.canva.site/js/6f2750c58da13032249649f4dd67a8a496dbe8b4f90c32c4c59ffda1320c48cf.js	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/js/6f2750c58da13032249649f4dd67a8a496dbe8b4f90c32c4c59ffda1320c48cf.js	(from https://villaeno.my.canva.site/)
15:14:27	92526/92526	---MC-	200	added ('OK')	image/png	date:Tue,%2025%20Jul%202023%2018:14:23%20GMT	https://villaeno.my.canva.site/images/9e5c07585b604ee85298cc35a810d7ba.png	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/images/9e5c07585b604ee85298cc35a810d7ba.png	(from https://villaeno.my.canva.site/)
15:14:27	221/221	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2025%20Jul%202023%2018:14:25%20GMT	https://villaeno.my.canva.site/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	(from https://villaeno.my.canva.site/)
15:14:28	1642/1642	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2025%20Jul%202023%2018:14:27%20GMT	https://villaeno.my.canva.site/js/6f2750c58da13032249649f4dd67a8a496dbe8b4f90c32c4c59ffda1320c48cf.js	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/js/6f2750c58da13032249649f4dd67a8a496dbe8b4f90c32c4c59ffda1320c48cf.js	(from https://villaeno.my.canva.site/)
15:14:29	987019/987019	---MC-	200	added ('OK')	image/png	date:Tue,%2025%20Jul%202023%2018:14:22%20GMT	https://villaeno.my.canva.site/images/1b2c57f0c85a1b8b6a518e5b58decad8.png	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/images/1b2c57f0c85a1b8b6a518e5b58decad8.png	(from https://villaeno.my.canva.site/)
